event_id,event_date,event_title,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_category,fatality_count,country_name,admin_division_name,source_name,source_link,latitude,longitude
130,07/19/2007 12:00:00 AM,Guwahati,Guwahati,25km,rain,medium,landslide,6,India,Assam,Saharas Samay,http://www.saharasamay.com/samayhtml/articles.aspx?newsid=80536,26.1699,91.7986
141,07/26/2007 12:00:00 AM,Singtam,Singtam,50km,rain,medium,landslide,,India,Meghālaya,thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=164069,25.38,91.88
142,07/27/2007 12:00:00 AM,Tura,Tura,10km,rain,large,rock_fall,8,India,Meghālaya,Telegraph India,http://telegraphindia.com/1070728/asp/frontpage/story_8116912.asp,25.5212,90.232
211,08/26/2007 12:00:00 AM,Tamenglong,Tamenglong,5km,continuous_rain,medium,mudslide,1,India,Manipur,kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39058&typeid=1,24.9667,93.55
212,08/26/2007 12:00:00 AM,National Highway No 44 at Sonarpur in Meghalaya,National Highway No 44 at Sonarpur in Meghalaya,unknown,rain,medium,complex,,India,Meghālaya,Newspost India.com,http://newspostindia.com/report-12963,25.5576,91.8506
213,08/26/2007 12:00:00 AM,Shillong Road at Kuliang in the Jaintia Hills,Shillong Road at Kuliang in the Jaintia Hills,unknown,rain,medium,landslide,,India,Assam,Telegraph India,http://www.telegraphindia.com/1070830/asp/northeast/story_8253906.asp,25.2946,92.8339
215,08/28/2007 12:00:00 AM,Phesema area at National Highway 39,Phesema area at National Highway 39,50km,rain,medium,landslide,1,India,Nāgāland,Newkerala,http://www.newkerala.com/july.php?action=fullnews&id=56364,25.7428,93.9136
220,08/31/2007 12:00:00 AM,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25km,rain,medium,landslide,,India,Manipur,kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39138&typeid=2,25.1333,93.9667
239,09/07/2007 12:00:00 AM,eight kilometres from Chukha dzong,eight kilometres from Chukha dzong,10km,rain,medium,landslide,2,Bhutan,Chhukha,Kuensel Newspaper online,http://www.kuenselonline.com/modules.php?name=News&file=article&sid=9050,27.0667,89.5833
247,09/08/2007 12:00:00 AM,"Lower Shajouba village near Tadubi along NH 39, Manipur ","Lower Shajouba village near Tadubi along NH 39, Manipur ",50km,rain,medium,landslide,,India,Manipur,kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39218&typeid=2,25.0604,93.9877
252,09/09/2007 12:00:00 AM,"Mao in Manipur, Phipema and Chunikhudima in Nagaland","Mao in Manipur, Phipema and Chunikhudima in Nagaland",25km,rain,medium,landslide,,India,Nāgāland,kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39229&typeid=2,25.4993,94.1192
253,09/10/2007 12:00:00 AM,Nabinagar in Chittagong,Nabinagar in Chittagong,5km,rain,medium,mudslide,2,Bangladesh,Chittagong,The Daily Star,http://www.thedailystar.net/story.php?nid=3742,23.8917,90.9733
254,09/10/2007 12:00:00 AM,Baling Primary School in Trongsa,Baling Primary School in Trongsa,50km,rain,medium,landslide,,Bhutan,Shemgang,Kuensel Newspaper online,http://www.kuenselonline.com/modules.php?name=News&file=article&sid=9111,27.0971,90.4032
